title,price
"All-New Kindle (10th Gen), 6"" Display now with Built-in Light, Wi-Fi (Black)",
"Kindle Paperwhite (10th gen) - with Built-in Light, Waterproof, 8 GB, WiFi","12,999"
"All-New Kindle (10th Gen), 6"" Display now with Built-in Light, Wi-Fi (White)","7,999"
"Kindle Paperwhite (10th gen) -with Built-in Light, Waterproof, 32 GB, WiFi + Free 4G LTE","17,999"
"All-New Kindle Oasis (10th Gen) - Now with adjustable warm light, 7"" Display, 8 GB, WiFi (Graphite)","21,999"
"Certified Refurbished Kindle Paperwhite (7th Gen), 6"" High Resolution Display (300 ppi) with Built-in Light, Wi-Fi - White (Tested by Amazon to look and work like new, backed with 1-year warranty)","5,999"
"All-New Kindle Oasis (10th Gen) - Now with adjustable warm light, 7"" Display, 32 GB, WiFi (Champagne Gold)","24,999"
"Certified Refurbished Kindle Paperwhite (7th Gen) 3G, 6"" High Resolution Display (300 ppi) with Built-in Light, Free 3G + Wi-Fi - Black (Tested by Amazon to look and work like new, backed with 1-year warranty)","7,999"
"All-New Kindle Oasis (10th Gen) - Now with adjustable warm light, 7"" Display, 32 GB, WiFi + Free 4G (Graphite)","28,999"
"Certified Refurbished Kindle Voyage (Previous Generation) Wifi - 6"" High-Resolution Display (300 ppi) with Adaptive Built-in Light and PagePress Sensors - Black (Tested by Amazon to look and work like new, backed with 1-year warranty)","6,999"
"Kindle Oasis (9th Gen)- 7"" High Resolution Display, Waterproof, 32 GB, WiFi + Free 3G","26,999"
"Certified Refurbished Kindle Voyage 3G - 6"" High-Resolution Display (300 ppi) with Adaptive Built-in Light, PagePress Sensors, Free 3G + Wi-Fi - Black","8,999"
Classic Tales,
"Certified Refurbished Kindle Paperwhite (7th Gen) 3G, 6"" High Resolution Display (300 ppi) with Built-in Light, Free 3G + Wi-Fi - White (Tested by Amazon to look and work like new, backed with 1-year warranty)","7,999"
"Kindle 6"" Glare-Free Touchscreen Display, Wi-Fi (Black) Previous Generation","5,999"
THE UGLY DUCKLING: Stories for Kids | English Fairy Tales | Bedtime Stories,
